CASE	METHOD	GRADE
1	LAB	15
2	LAB	19
3	LAB	14
4	LAB	15
5	LAB	16
6	LAB	16
7	LAB	18
8	LAB	13
9	LAB	12
10	LAB	14
11	LAB	17
12	LAB	12
13	LAB	15
14	LAB	15
15	LAB	18
16	LAB	17
17	LAB	15
18	LAB	19
19	LAB	9
20	LAB	17
21	LAB	16
22	LAB	18
23	LAB	13
24	LAB	14
25	LAB	14
26	LAB	13
27	LAB	11
28	LAB	11
29	LAB	17
30	LAB	15
31	TRADITIONAL	13
32	TRADITIONAL	15
33	TRADITIONAL	6
34	TRADITIONAL	12
35	TRADITIONAL	5
36	TRADITIONAL	14
37	TRADITIONAL	7
38	TRADITIONAL	13
39	TRADITIONAL	10
40	TRADITIONAL	15
41	TRADITIONAL	7
42	TRADITIONAL	18
43	TRADITIONAL	9
44	TRADITIONAL	8
45	TRADITIONAL	16
46	TRADITIONAL	14
47	TRADITIONAL	17
48	TRADITIONAL	9
49	TRADITIONAL	12
50	TRADITIONAL	11
51	TRADITIONAL	13
52	TRADITIONAL	12
53	TRADITIONAL	12
54	TRADITIONAL	11
55	TRADITIONAL	11
56	TRADITIONAL	14
57	TRADITIONAL	13
58	TRADITIONAL	16
59	TRADITIONAL	8
60	TRADITIONAL	12
